Platform,Package Name,Client Version,Latest Stable Version,Is on N-1 version,N-1 Version,N-1 Vulnerabilities,N-2 Version,N-2 Vulnerabilities,N-3 Version,N-3 Vulnerabilities
pypi,onnxruntime,1.18.0,1.19.2,No,1.19.0,No violations,1.18.1,No violations,1.18.0,No violations
pypi,opentelemetry-exporter-otlp-proto-grpc,1.25.0,1.27.0,No,1.26.0,release pypi/opentelemetry-exporter-otlp-proto-grpc 1.26.0's dependencies have violations - Standard: releases_have_clean_dependencies,1.25.0,release pypi/opentelemetry-exporter-otlp-proto-grpc 1.25.0's dependencies have violations - Standard: releases_have_clean_dependencies,1.24.0,release pypi/opentelemetry-exporter-otlp-proto-grpc 1.24.0's dependencies have violations - Standard: releases_have_clean_dependencies
npm,@babel/helper-split-export-declaration,7.18.6,7.24.7,No,7.24.6,No violations,7.24.5,No violations,7.22.6,No violations
rubygems,public_suffix,4.0.6,6.0.1,No,6.0.0,No violations,5.1.1,No violations,5.1.0,No violations
npm,chalk,2.1.0,5.3.0,No,5.2.0,No violations,5.1.2,No violations,5.1.1,No violations
npm,lodash.isobject,2.4.1,3.0.2,No,3.0.1,No violations,3.0.0,No violations,2.4.1,No violations
npm,karma-chrome-launcher,2.2.0,3.2.0,No,3.1.1,a Appear maintained violation is present - Standard: packages_appear_maintained,3.1.0,a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,corser,2.0.1,2.0.1,No,2.0.0,No violations,1.2.0,No violations,1.1.2,No violations
npm,cssesc,3.0.0,3.0.0,No,2.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,@types/estree,0.0.39,1.0.6,No,1.0.5,No violations,1.0.4,No violations,1.0.3,No violations
npm,@types/minimist,1.2.2,1.2.5,No,1.2.4,No violations,1.2.3,No violations,1.2.2,No violations
npm,promise,8.0.1,8.3.0,No,8.3.0-canary-5,No violations,8.2.0,No violations,8.2.0-canary-4,No violations
npm,camelcase-keys,1.0.0,9.1.3,No,9.1.2,No violations,9.1.1,No violations,9.1.0,No violations
npm,safe-regex,1.1.0,2.1.1,No,2.1.0,a Appear maintained violation is present - Standard: packages_appear_maintained,2.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,2.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,workbox-range-requests,3.3.1,7.1.0,No,7.0.0,No violations,6.6.1,No violations,6.6.0,No violations
